EMPRESA;945633212;Oreo;2023-05-09 13:00:00;Empresa de Galletas Estadounidense;oreo.com
EMPRESA;956777301;Adidas;2023-05-09 13:00:33;Empresa de Ropa y Complementos Deportivos;adidas.com
EMPRESA;967444300;El País;2023-05-09 13:01:22;Prensa Española;elpais.es
EMPRESA;945600340;Facebook;2023-05-09 13:04:34;Servicio de Redes y Medios Sociales;facebook.com
EMPRESA;978444321;HMNLogistics;2023-05-09 13:05:44;Empresa de Logística Española;hmnlogistics.es
EMPRESA;956320133;Twitch;2023-05-09 13:09:06;Empresa de Creadores de Contenido;twitch.tv
EMPRESA;956888430;HP;2023-05-09 13:11:17;Empresa Tecnológica;hp.com
EMPRESA;994500323;Zara;2023-05-09 13:12:34;Empresa de Ropa Española;zara.com
EMPRESA;934555032;Restaurante La Barca;2023-05-10 13:09:29;Restaurante ubicado en un distrito de Ciudad de México;labarca.mx
EMPRESA;967330221;Llaollao;2023-05-17 08:11:08;Franquicia de Heladerías;llaollao.com
EMPRESA;950334445;Smint;2023-05-17 08:14:47;Caramelos de Sabores;smint.com
EMPRESA;940330219;Massimo Dutti;2023-05-17 08:54:42;Tienda de Ropa del Grupo Inditex;massimodutti.com
EMPRESA;956227301;Sony;2023-05-17 16:33:42;Empresa Tecnológica;sony.com
EMPRESA;903200113;Siemens;2023-05-17 16:35:07;Marca de Electrodomésticos;siemens.com
EMPRESA;906334500;Perfumerías Avenida;2023-05-18 08:07:31;Productos de cosmética, maquillaje e higiene;perfumeriasavenida.es
EMPRESA;901239430;AndorraTelecom;2023-05-18 08:12:09;Empresa de telecomunicaciones de Andorra;andorratelecom.ad
EMPRESA;903220001;DXRacer;2023-05-20 14:17:47;Empresa fabricadora de material gaming;dxracer.fr
EMPRESA;978333293;Abalorios Carlota;2023-05-20 14:44:30;Tienda ubicada en la Calle Mayor de Guadalajara;abalarioscarlota.net
EMPRESA;902568934;Mercadona;2023-05-20 14:48:03;Supermercado de Productos Españoles;mercadona.es
EMPRESA;991845321;Anaya;2023-05-20 14:49:06;Editorial Española;anaya.es
